Vd_applied_V,Vd_internal_V,Id_A_per_um,abs_Id_A_per_um,abs_Id_mA_per_mm,Field_GateRight,Field_FP_End,Field_DrainEdge,ImpactMax,Tmax,Tmin,JouleMax,HeatMax,Tsource,Tdrain,Tbottom
2507.0,2507.0,-1.721902617e-14,1.721902617e-14,1.721902617e-08,342512.6166,330145.8852,-11344.75327,2485364737000000.0,300.0,300.0,3.665070185,3.665070185,300.0,300.0,300.0
2508.0,2508.0,-1.762648604e-14,1.762648604e-14,1.762648604e-08,342405.1432,329991.4653,-11344.75138,2506025351000000.0,300.0,300.0,3.680162101,3.680162101,300.0,300.0,300.0
2509.0,2509.0,-1.744273987e-14,1.744273987e-14,1.744273987e-08,342298.3392,329839.6724,-11344.7495,2526888105000000.0,300.0,300.0,3.695396194,3.695396194,300.0,300.0,300.0
2510.0,2510.0,-1.723734659e-14,1.723734659e-14,1.723734659e-08,342192.1937,329690.4643,-11344.74762,2547955405000000.0,300.0,300.0,3.710773699,3.710773699,300.0,300.0,300.0
2511.0,2511.0,-1.703207809e-14,1.703207809e-14,1.7032078090000002e-08,342086.6957,329543.7991,-11344.74574,2569229686000000.0,300.0,300.0,3.726295863,3.726295863,300.0,300.0,300.0
2512.0,2512.0,-1.760341495e-14,1.760341495e-14,1.760341495e-08,341981.8342,329399.6352,-11344.74386,2590713419000000.0,300.0,300.0,3.741963953,3.741963953,300.0,300.0,300.0
2513.0,2513.0,-2.383092409e-15,2.383092409e-15,2.383092409e-09,341877.5985,329257.9312,-11344.74198,2612409107000000.0,300.0,300.0,3.757779254,3.757779254,300.0,300.0,300.0
2514.0,2514.0,-1.702804706e-14,1.702804706e-14,1.702804706e-08,341773.9779,329118.6464,-11344.74011,2634319287000000.0,300.0,300.0,3.773743069,3.773743069,300.0,300.0,300.0
2515.0,2515.0,-1.761698315e-14,1.761698315e-14,1.7616983150000002e-08,341670.9619,328981.7402,-11344.73823,2656446532000000.0,300.0,300.0,3.789856722,3.789856722,300.0,300.0,300.0
2516.0,2516.0,-2.587109454e-15,2.587109454e-15,2.587109454e-09,341568.54,328847.1726,-11344.73636,2678793452000000.0,300.0,300.0,3.806121556,3.806121556,300.0,300.0,300.0
2517.0,2517.0,-1.718243799e-14,1.718243799e-14,1.718243799e-08,341466.7018,328714.9039,-11344.73449,2701362692000000.0,300.0,300.0,3.822538936,3.822538936,300.0,300.0,300.0
2518.0,2518.0,-1.75670556e-14,1.75670556e-14,1.7567055600000002e-08,341365.437,328584.895,-11344.73262,2724156938000000.0,300.0,300.0,3.839110251,3.839110251,300.0,300.0,300.0
2519.0,2519.0,-2.65055979e-15,2.65055979e-15,2.6505597899999997e-09,341264.7355,328457.1072,-11344.73075,2747178911000000.0,300.0,300.0,3.855836912,3.855836912,300.0,300.0,300.0
2520.0,2520.0,-2.422596852e-15,2.422596852e-15,2.422596852e-09,341164.5873,328331.5023,-11344.72888,2770431375000000.0,300.0,300.0,3.872720352,3.872720352,300.0,300.0,300.0
2521.0,2521.0,-1.783571882e-14,1.783571882e-14,1.783571882e-08,341064.9824,328208.0426,-11344.72701,2793917132000000.0,300.0,300.0,3.889762031,3.889762031,300.0,300.0,300.0
2522.0,2522.0,-1.759517448e-14,1.759517448e-14,1.759517448e-08,340965.9111,328086.6909,-11344.72515,2817639028000000.0,300.0,300.0,3.906963435,3.906963435,300.0,300.0,300.0
2523.0,2523.0,-1.732548931e-14,1.732548931e-14,1.732548931e-08,340867.3635,327967.4106,-11344.72328,2841599949000000.0,300.0,300.0,3.924326074,3.924326074,300.0,300.0,300.0
2524.0,2524.0,-1.691155499e-14,1.691155499e-14,1.691155499e-08,340769.3302,327850.1655,-11344.72142,2865802827000000.0,300.0,300.0,3.941851487,3.941851487,300.0,300.0,300.0
2525.0,2525.0,-1.755168157e-14,1.755168157e-14,1.755168157e-08,340671.8015,327734.92,-11344.71956,2890250636000000.0,300.0,300.0,3.959541241,3.959541241,300.0,300.0,300.0
2526.0,2526.0,-1.728947328e-14,1.728947328e-14,1.728947328e-08,340574.7683,327621.6391,-11344.7177,2914946396000000.0,300.0,300.0,3.977396931,3.977396931,300.0,300.0,300.0
2527.0,2527.0,-1.709922391e-14,1.709922391e-14,1.709922391e-08,340478.2211,327510.2882,-11344.71584,2939893177000000.0,300.0,300.0,3.995420182,3.995420182,300.0,300.0,300.0
2528.0,2528.0,-1.768182388e-14,1.768182388e-14,1.768182388e-08,340382.1509,327400.8334,-11344.71398,2965094092000000.0,300.0,300.0,4.013612649,4.013612649,300.0,300.0,300.0
2529.0,2529.0,-1.725009724e-14,1.725009724e-14,1.725009724e-08,340286.5487,327293.2412,-11344.71212,2990552306000000.0,300.0,300.0,4.031976021,4.031976021,300.0,300.0,300.0
2530.0,2530.0,-1.705578178e-14,1.705578178e-14,1.705578178e-08,340191.4053,327187.4786,-11344.71027,3016271033000000.0,300.0,300.0,4.050512015,4.050512015,300.0,300.0,300.0
2531.0,2531.0,-1.764777238e-14,1.764777238e-14,1.764777238e-08,340096.7122,327083.5134,-11344.70841,3042253537000000.0,300.0,300.0,4.069222386,4.069222386,300.0,300.0,300.0
2532.0,2532.0,-1.738381664e-14,1.738381664e-14,1.7383816640000002e-08,340002.4604,326981.3137,-11344.70656,3068503137000000.0,300.0,300.0,4.088108919,4.088108919,300.0,300.0,300.0
2533.0,2533.0,-1.715647844e-14,1.715647844e-14,1.7156478439999998e-08,339908.6414,326880.8483,-11344.70471,3095023204000000.0,300.0000004,300.0000003,4.107173436,4.107173436,300.0000003,300.0000004,300.0000004
2534.0,2534.0,-1.865158762e-14,1.865158762e-14,1.865158762e-08,339815.2469,326782.0865,-11344.70287,3121817266000000.0,300.0000004,300.0000003,4.126417941,4.126417941,300.0000003,300.0000004,300.0000004
