run,time_label,endpoint_case,sequence,x_um,y_um,zone,Je_x_Acm-2,Je_y_Acm-2,Je_mag_Acm-2,Jtotal_Acm-2,electron_cm-3,impact_cm-3s-1
RUN096,t50ns,x2-x18_channel-edge,133,8.75,0.2,gate/UID-transition,-1864.93717,-349.675256,1897.4360154445983,1898.17757,746327807000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,134,8.625,0.175,gate/UID-transition,-1884.25571,-419.179614,1930.3189191065794,1930.77359,1368656970000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,135,8.5,0.15,gate/UID-transition,-2296.8432,-489.921705,2348.5127128496333,2348.88764,3073457830000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,136,8.5,0.13125,gate-channel,-1589.55298,-235.996597,1606.9763750666843,1607.1394,2008109740000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,137,8.375,0.1125,gate-channel,-1609.8717,-198.467969,1622.0593161718452,1622.12104,3343041030000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,138,8.25,0.09375,gate-channel,-1198.84428,-136.224863,1206.5590830904582,1206.59956,3375304240000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,139,8.125,0.09375,gate-channel,-2487.64783,-253.64591,2500.5455352309496,2500.5998,1.12179545e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,140,8.0,0.075,gate-channel,-1806.66302,-190.0883,1816.635579755172,1816.73093,9413034780000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,141,7.875,0.05625,gate-channel,-1287.88088,-143.389381,1295.8385993838651,1296.1345,7618846570000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,142,7.75,0.05625,gate-channel,-2349.38041,-238.554257,2361.460659088902,2362.26769,1.9973859e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,143,7.625,0.0375,gate-channel,-1845.86905,-135.794493,1850.8572862533267,1855.18382,2.148339e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,144,7.5,0.01875,gate-channel,-858.476007,-36.5548051,859.2539254321524,889.051531,1.40107306e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,145,7.375,0.01875,gate-channel,-1282.52006,-27.7771726,1282.8208275593495,1319.10701,2.74108036e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,146,7.25,0.01875,gate-channel,-1583.89769,-17.9613339,1583.9995271157134,1625.64434,4.02266717e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,147,7.125,0.01875,gate-channel,-1778.94186,-11.5283908,1778.9792143402624,1824.55874,5.05125506e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,148,7.0,0.01875,gate-channel,-1908.37216,-7.84869623,1908.3882998738952,1956.6324,5.8235937e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,149,6.875,0.01875,gate-channel,-2001.10065,-5.81780207,2001.1091070332345,2051.04929,6.40187187e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,150,6.75,0.01875,gate-channel,-2073.93943,-4.71995445,2073.94480092377,2124.89182,6.85289228e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,151,6.625,0.01875,gate-channel,-2136.39387,-4.15965892,2136.3979195215265,2187.86992,7.23011747e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,152,6.5,0.01875,gate-channel,-2193.96586,-3.91772959,2193.9693579106065,2245.62227,7.57266419e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,153,6.375,0.01875,gate-channel,-2250.00479,-3.87978756,2250.0081350462833,2301.58185,7.90865348e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,154,6.25,0.01875,gate-channel,-2306.69234,-3.97768667,2306.6957695816586,2357.9758,8.2593559e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,155,6.125,0.01875,gate-channel,-2365.58248,-4.18058113,2365.5861740679698,2416.37635,8.64228742e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,156,6.0,0.01875,gate-channel,-2427.90154,-4.46709617,2427.90564950176,2478.00777,9.07402133e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,157,5.875,0.01875,gate-channel,-2494.76483,-4.84012059,2494.7695251810846,2543.96602,9.57215654e+16,0.0
RUN096,t50ns,x2-x18_channel-edge,158,5.75,0.01875,gate-channel,-2567.38324,-5.31034087,2567.3887319128467,2615.42549,1.0157813e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,159,5.625,0.01875,gate-channel,-2647.48304,-5.94518148,2647.489715234126,2694.05539,1.08581855e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,160,5.5,0.01875,gate-channel,-2738.35904,-6.91642414,2738.367774582626,2783.06534,1.17114072e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,161,5.375,0.01875,gate-channel,-2847.74065,-8.73008157,2847.7540315109104,2890.05426,1.27749247e+17,0.0
RUN096,t50ns,x2-x18_channel-edge,162,5.25,0.01875,gate-channel,-2995.10475,-12.6799211,2995.1315904099547,3034.28605,1.41449223e+17,0.0
